,cnae_code,ativ_desc,description,code_description
0,111301,Cultivo de arroz,Rice cultivation,111301 - Rice cultivation
1,111302,Cultivo de milho,corn cultivation,111302 - corn cultivation
2,111303,Cultivo de trigo,Wheat crop,111303 - Wheat crop
3,111399,Cultivo de outros cereais não especificados anteriormente,Cultivation of other cereals not specified above,111399 - Cultivation of other cereals not specified above
4,112101,Cultivo de algodão herbáceo,Herbaceous cotton cultivation,112101 - Herbaceous cotton cultivation
5,112102,Cultivo de juta,Juta cultivation,112102 - Juta cultivation
6,112199,Cultivo de outras fibras de lavoura temporária não especificadas anteriormente,Cultivation of other temporary crop fibers not previously specified,112199 - Cultivation of other temporary crop fibers not previously specified
7,113000,Cultivo de cana-de-açúcar,Sugar cane cultivation,113000 - Sugar cane cultivation
8,114800,Cultivo de fumo,tobacco cultivation,114800 - tobacco cultivation
9,115600,Cultivo de soja,Soybean cultivation,115600 - Soybean cultivation
10,116401,Cultivo de amendoim,peanut farming,116401 - peanut farming
11,116402,Cultivo de girassol,sunflower cultivation,116402 - sunflower cultivation
12,116403,Cultivo de mamona,Mamona culture,116403 - Mamona culture
13,116499,Cultivo de outras oleaginosas de lavoura temporária não especificadas anteriormente,Cultivation of other temporary crop oilseeds not previously specified,116499 - Cultivation of other temporary crop oilseeds not previously specified
14,119901,Cultivo de abacaxi,pineapple cultivation,119901 - pineapple cultivation
15,119902,Cultivo de alho,garlic cultivation,119902 - garlic cultivation
16,119903,Cultivo de batata-inglesa,Potato cultivation,119903 - Potato cultivation
17,119904,Cultivo de cebola,onion cultivation,119904 - onion cultivation
18,119905,Cultivo de feijão,bean cultivation,119905 - bean cultivation
19,119906,Cultivo de mandioca,Cassava cultivation,119906 - Cassava cultivation
20,119907,Cultivo de melão,melon cultivation,119907 - melon cultivation
21,119908,Cultivo de melancia,watermelon cultivation,119908 - watermelon cultivation
22,119909,Cultivo de tomate rasteiro,Creeping tomato cultivation,119909 - Creeping tomato cultivation
